"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/24/2020","AirNow","390030009","1","0.044","ppm","41","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/25/2020","AirNow","390030009","1","0.051","ppm","47","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/26/2020","AirNow","390030009","1","0.059","ppm","64","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/27/2020","AirNow","390030009","1","0.038","ppm","35","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/28/2020","AirNow","390030009","1","0.052","ppm","48","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/29/2020","AirNow","390030009","1","0.058","ppm","61","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"06/30/2020","AirNow","390030009","1","0.062","ppm","74","Lima","21","88.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/01/2020","AirNow","390030009","1","0.052","ppm","48","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/02/2020","AirNow","390030009","1","0.064","ppm","80","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/03/2020","AirNow","390030009","1","0.058","ppm","61","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/04/2020","AirNow","390030009","1","0.057","ppm","58","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/05/2020","AirNow","390030009","1","0.057","ppm","58","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/06/2020","AirNow","390030009","1","0.065","ppm","84","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/07/2020","AirNow","390030009","1","0.062","ppm","74","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/09/2020","AirNow","390030009","1","0.059","ppm","64","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/10/2020","AirNow","390030009","1","0.047","ppm","44","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/11/2020","AirNow","390030009","1","0.046","ppm","43","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/12/2020","AirNow","390030009","1","0.041","ppm","38","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/13/2020","AirNow","390030009","1","0.045","ppm","42","Lima","21","88.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/14/2020","AirNow","390030009","1","0.056","ppm","54","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/15/2020","AirNow","390030009","1","0.065","ppm","84","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/16/2020","AirNow","390030009","1","0.041","ppm","38","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/17/2020","AirNow","390030009","1","0.064","ppm","80","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/18/2020","AirNow","390030009","1","0.054","ppm","50","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/19/2020","AirNow","390030009","1","0.043","ppm","40","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/20/2020","AirNow","390030009","1","0.036","ppm","33","Lima","21","88.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/21/2020","AirNow","390030009","1","0.05","ppm","46","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/22/2020","AirNow","390030009","1","0.036","ppm","33","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/23/2020","AirNow","390030009","1","0.047","ppm","44","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/24/2020","AirNow","390030009","1","0.051","ppm","47","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/25/2020","AirNow","390030009","1","0.056","ppm","54","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"07/26/2020","AirNow","390030009","1","0.049","ppm","45","Lima","24","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
